,x,y,topic
184,11.451967,6.1033382,108
185,27.121677,10.530044,1
186,0.011651192,3.0951886,76
187,8.807223,1.0663869,7
188,6.8729334,3.5894217,19
189,12.787186,2.340118,21
190,7.6278176,7.3263383,74
191,12.777532,2.3235312,21
192,12.785451,2.316723,21
193,10.940341,0.76088876,83
194,10.945251,0.76344883,83
195,11.825532,1.6379404,-1
196,7.4478583,6.5906777,-1
197,8.562456,5.223329,115
198,7.6328936,7.3308682,74
199,6.70625,-1.4013784,92
200,6.706125,-1.401561,92
201,7.225406,6.0349793,-1
202,6.7660637,5.3395386,-1
203,9.562048,0.4194206,9
204,12.055346,7.6225886,-1
205,6.9056907,4.6831717,77
206,7.4424353,6.2865586,112
207,7.914381,5.048812,-1
208,11.741715,-0.4570304,-1
209,6.8062844,11.790462,79
210,9.147735,5.7787,97
211,6.40134,5.585185,15
212,10.81917,2.6113656,85
213,6.096464,-4.0179644,65
214,7.235443,3.2762144,-1
215,9.273766,5.876208,-1
216,7.2497244,3.255399,-1
217,10.695417,1.732919,110
218,6.9792404,3.3928266,-1
219,8.269475,4.9026933,84
220,9.624737,0.29810622,-1
221,13.631335,-0.38080847,44
222,12.40155,7.299546,51
223,3.8226106,3.8874722,117
224,8.883005,1.1175466,7
225,6.3189826,5.535437,15
226,10.715284,2.7907772,85
227,10.678,2.4633634,57
228,1.960135,11.606535,39
229,22.662836,3.6122072,3
230,18.74589,-6.7080817,2
231,8.566054,1.3337228,7
232,1.9333161,11.634906,39
233,11.662496,7.133482,-1
234,11.576434,1.4269634,-1
235,18.717377,-6.6932516,2
236,10.144065,1.5947121,29
237,18.340654,-6.567494,83
238,12.315008,7.107219,99
239,12.3306265,-0.13260421,-1
240,6.9912453,4.752022,77
241,6.9045653,6.850846,27
242,8.632658,1.2254505,7
243,5.833771,3.521182,-1
244,26.865911,10.050036,1
245,6.08514,3.7227302,121
246,-4.104994,7.272971,14
247,14.269486,0.56399274,22
248,22.786318,3.708362,3
249,7.450309,3.2422326,45
250,12.460281,0.7193291,-1
251,11.388551,0.17054923,-1
252,6.1117325,4.700137,49
253,12.331607,7.2045465,51
254,22.66776,3.6599364,3
255,10.859142,-3.0701149,10
256,10.858965,-3.0097404,10
257,7.2614083,5.8482265,-1
258,18.774553,-6.858661,2
259,7.2664742,4.734865,-1
260,12.544513,-2.106501,42
261,9.21481,10.715129,88
262,22.830912,3.717161,3
263,0.5345504,-7.931292,6
264,18.784767,-6.8190813,2
265,10.16184,1.5755913,29
266,6.9114766,6.847761,27
267,11.73008,-0.31282237,-1
268,22.640905,3.7451873,3
269,12.543767,-2.106186,42
270,5.4310465,3.9324543,30
271,-7.611457,2.3851492,5
272,22.732244,3.7683256,3
273,12.392311,7.305789,51
274,7.1768007,5.0101047,111
275,12.155395,-0.27149248,-1
276,12.794709,0.22093853,37
277,22.653837,3.6278293,3
278,18.729313,-6.2735643,2
279,7.37516,6.0955033,132
280,18.376202,-6.598116,83
281,16.175436,-14.751631,4
282,6.3383594,27.14155,0
283,26.859001,10.248359,1
284,0.011485714,3.0410552,76
285,13.921154,1.1521991,12
286,13.922843,1.0080895,12
287,18.721937,-6.7045245,2
288,10.883144,-3.4680924,10
289,6.2079897,27.498453,0
290,18.751143,-6.703826,2
291,7.2146754,6.092536,60
292,18.716223,-6.7521,2
293,13.953774,1.066853,12
294,11.571327,0.7117042,32
295,-0.43158492,3.7999792,58
296,10.881854,-3.4464085,10
297,7.7890143,4.5210295,12
298,1.9601829,11.606518,39
299,18.7874,-6.601177,2
300,6.979742,3.29848,106
301,10.881012,-3.4448667,10
302,16.150188,-14.746261,4
303,11.2823,1.665381,20
304,6.1021523,27.283958,0
305,26.85073,10.469524,1
306,14.400969,0.4129232,22
307,-4.0726175,7.3236766,14
308,9.398547,1.2806311,80
309,7.04553,4.361806,68
310,6.103493,3.783434,121
311,7.4161553,6.168906,-1
312,-0.04680652,1.0001949,-1
313,12.810736,0.24499398,37
314,6.730599,3.240444,-1
315,13.960873,1.1122079,12
316,7.0368495,6.5778384,-1
317,7.0071836,3.5769958,19
318,13.82893,1.0844456,12
319,11.544443,1.5015274,-1
320,11.973264,1.296044,87
321,11.61148,-0.5035414,82
322,12.388558,7.296452,51
323,16.176485,-14.768566,4
324,6.4232087,27.588884,0
325,8.207953,4.8347044,-1
326,27.241295,10.50831,1
327,11.204265,0.5955454,-1
328,13.959661,1.1091479,12
329,9.28671,5.9105825,-1
330,7.3327603,3.6191487,145
331,10.902391,0.482459,-1
332,18.891445,-6.808519,2
333,13.909352,1.0514514,12
334,13.903764,1.0055057,12
335,6.367542,6.3185663,-1
336,16.158972,-14.726933,4
337,6.2688727,27.20048,0
338,12.277924,2.1072645,109
339,8.324479,-0.7489178,16
340,6.4238462,5.616681,15
341,0.2270056,2.8804193,140
342,7.2055345,3.1117613,145
343,8.155763,5.7713056,8
344,10.885189,-3.0374882,10
345,26.89763,10.254221,1
346,22.661875,3.7880654,3
347,22.708061,3.7424638,3
348,22.69653,3.72301,3
349,8.870981,1.1196814,7
350,13.032966,9.410534,25
351,-11.143742,-3.59573,86
352,12.288724,2.1184309,109
353,8.11513,5.8790803,8
354,9.500717,4.429613,-1
355,5.555528,3.3174796,96
356,6.5764027,3.4042838,-1
357,11.663182,0.6375206,32
358,10.079286,4.836747,73
359,8.199582,5.734796,8
360,18.72912,-6.78114,2
361,7.988807,5.5352936,-1
362,13.861298,1.1154307,12
363,10.664187,-2.2375998,-1
364,-0.11053169,16.626347,124
365,7.245887,4.3911433,64
366,10.0833645,4.826983,73
367,13.025794,9.400585,25
368,0.8350411,-7.128368,91
369,22.73924,3.7382622,3
370,8.937291,-1.0647609,2
371,5.5482135,3.3158772,96
372,-9.845886,9.931338,31
373,11.216199,-2.134881,103
374,8.331875,-0.7581941,16
375,16.206755,-14.785095,4
376,6.4906907,27.57018,0
377,26.85383,10.268478,1
378,10.084556,4.8299065,73
379,7.5509944,3.1640456,45
380,10.699901,1.7876747,110
381,22.770033,3.6207418,3
382,11.668813,1.329022,-1
383,8.510189,4.8127365,95
384,18.699038,-6.782585,2
385,26.980822,10.415335,1
386,6.3215585,27.251013,0
387,5.611807,1.773985,19
388,12.299291,0.8575403,-1
389,9.871261,-2.6518354,23
390,6.8252435,3.3131835,40
391,12.179213,0.8665847,-1
392,12.477038,-0.12000029,94
393,7.603839,5.6019907,138
394,10.439429,-0.45837718,-1
395,6.415129,27.288395,0
396,11.603515,0.69091845,32
397,11.609468,7.3551965,36
398,16.187653,-14.766399,4
399,6.318933,27.325098,0
400,27.213066,10.389045,1
401,13.78161,0.27312627,-1
402,11.602501,0.6860652,32
403,13.037649,9.413302,25
404,10.312034,-0.32496384,-1
405,10.850858,-3.0376236,10
406,-0.6607205,16.96791,11
407,6.7800584,3.416944,-1
408,13.392969,-1.1170546,105
409,11.454723,0.064983256,50
410,7.5407653,3.1760516,45
411,10.083138,4.8310466,73
412,0.83477235,-7.1290526,91
413,0.8346486,-7.12927,91
414,12.527098,0.5740179,46
415,-11.9122505,7.447475,31
416,5.5564585,3.3156192,96
417,9.849849,-2.6735113,23
418,9.833447,-0.23843546,9
419,11.506371,0.051578198,50
420,27.109257,10.200534,1
421,18.670748,-6.770872,2
422,10.870208,-3.0064034,10
423,5.948336,3.064732,29
424,0.1352795,2.8975596,-1
425,5.3944473,5.7129335,38
426,10.181967,1.5940373,29
427,26.786623,10.338029,1
428,6.52568,27.478308,0
429,27.15728,10.494423,1
430,13.004695,0.66769904,-1
431,9.867676,-2.6531835,23
432,16.149529,-14.7065735,4
433,6.3061447,27.49919,0
434,11.410468,0.243222,50
435,26.78554,10.337088,1
436,11.864347,1.9332851,-1
437,13.950176,1.0828155,12
438,5.8226852,3.1421523,28
439,7.321983,6.295616,-1
440,5.570196,3.3120413,96
441,8.5533495,5.23953,115
442,11.329288,0.47331065,128
443,27.010492,10.249007,1
444,10.054793,4.810089,73
445,10.843207,2.719135,85
446,11.745168,7.2298365,-1
447,11.727354,7.2233315,-1
448,8.089082,5.4342527,8
449,13.896347,1.0246879,12
450,11.214976,-2.1137671,103
451,8.082991,5.825934,8
452,10.671709,2.806786,85
453,16.1412,-14.728374,4
454,10.752329,2.4882221,57
455,6.5179257,27.268196,0
456,26.977264,10.08582,1
457,7.5670133,5.6521125,138
458,6.8061376,11.789341,79
459,16.13722,-14.716629,4
460,12.315736,1.8870603,109
461,7.0534296,6.797263,27
462,12.4135065,2.350322,-1
463,13.894049,1.0100721,12
464,7.7605906,6.2613115,-1
465,11.360791,1.6440054,-1
466,6.6274633,5.8444853,-1
467,9.930466,0.015751459,9
468,7.102139,5.4602623,-1
469,7.8885126,4.300202,49
470,6.373637,5.578446,15
471,13.950076,1.0858978,12
472,7.310715,6.0554476,132
473,6.706147,6.791383,-1
474,5.607028,5.548474,38
475,16.19137,-14.770587,4
476,6.212754,27.530174,0
477,13.391794,-1.1192347,105
478,26.892345,10.405423,1
479,6.9559793,6.829465,27
480,11.81662,7.851722,59
481,13.949782,0.9465703,12
482,6.9881854,4.423176,68
483,18.760534,-6.7106376,2
484,6.7495165,6.7694187,-1
485,11.826534,7.874643,59
486,11.795621,7.8598948,59
487,13.390353,-1.117566,105
488,-0.60749245,16.9592,11
489,6.8873444,6.8550963,27
490,5.550561,3.3053074,96
491,9.49036,3.1928892,56
492,10.693701,2.7970395,85
493,22.816349,3.7019722,3
494,5.5746365,3.3085375,96
495,13.939361,0.9517652,12
496,10.6990385,2.8083372,85
497,7.776425,4.553158,-1
498,12.309344,1.8867837,109
499,13.391113,-1.1193185,105
500,13.390152,-1.1156617,105
501,11.819458,7.8585467,59
502,8.44735,-16.250336,119
503,12.304867,1.8806272,109
504,26.82383,10.170577,1
505,8.952239,0.8296992,7
506,11.87035,-0.43247023,18
507,10.092437,4.84435,73
508,11.658144,-0.5203661,82
509,22.744545,3.7272751,3
510,6.145152,4.726957,49
511,0.83585274,-7.1264386,91
512,18.787151,-6.791696,2
513,8.52307,4.919085,95
514,8.938478,0.82731074,7
515,0.8343166,-7.1301093,91
516,6.2030373,2.9378812,-1
517,7.1192183,5.3739514,62
518,10.082246,4.7942863,73
519,9.923979,1.2092363,44
520,16.19155,-14.764295,4
521,6.457529,27.569086,0
522,26.899324,10.591281,1
523,11.095536,-2.2924528,-1
524,22.70011,3.8053977,3
525,9.509504,4.444217,-1
526,18.681742,-6.6762824,2
527,8.503771,-0.6857556,16
528,22.648266,3.7904675,3
529,12.06618,-0.30469555,18
530,12.477851,0.70963943,130
531,10.889016,-3.0134232,10
532,7.74979,4.585746,-1
533,9.145792,5.7726684,97
534,16.155985,-14.739092,4
535,8.982637,1.0073801,7
536,6.2517986,27.62214,0
537,26.95597,10.440946,1
538,10.081234,4.8298244,73
539,7.157445,5.8834915,-1
540,12.179379,-0.010447884,18
541,6.856296,6.7266912,-1
542,7.4474783,5.704684,18
543,7.623409,6.093619,43
544,12.164132,0.6117023,-1
545,18.66953,-6.714628,2
546,9.40774,1.2887816,80
547,16.197231,-14.771573,4
548,9.229082,0.47678894,61
549,7.143507,2.9844792,17
550,6.1556816,27.16457,0
551,27.092733,10.5269785,1
552,12.763672,-0.20868665,-1
553,9.213456,0.47498158,61
554,10.815713,2.662308,85
555,7.76975,4.2138033,64
556,10.76062,2.4389994,57
557,10.676524,1.7749158,110
558,10.081333,4.830832,73
559,7.1198325,2.9730413,17
560,13.692196,-1.5193621,47
561,16.158268,-14.7376585,4
562,6.369026,27.239384,0
563,7.6991143,3.720763,-1
564,9.701207,0.98473394,70
565,5.7927527,3.132554,28
566,6.8251057,3.3181639,40
567,5.798126,3.1572618,28
568,11.88018,1.9325703,-1
569,14.001517,0.14067356,104
570,6.8402014,3.302988,40
571,6.0563927,3.3238904,28
572,10.666128,0.4832428,120
573,-7.7292347,2.4347005,5
574,9.498587,4.428247,-1
575,5.8105006,3.1615102,28
576,18.782043,-6.7848535,2
577,12.81987,0.27070498,37
578,6.805188,6.7095704,27
579,6.7966657,5.0284534,-1
580,9.957447,-2.5790935,23
581,16.1609,-14.731711,4
582,27.059673,10.342908,1
583,6.5169477,27.415304,0
584,5.826701,2.792288,126
585,18.686749,-6.8319187,2
586,11.239206,1.9084635,47
587,7.576217,6.6806293,55
588,18.775196,-6.710503,2
589,18.754019,-6.8137293,2
590,16.168985,-14.769129,4
591,6.2157617,27.243322,0
592,26.998755,10.14652,1
593,5.841841,3.1181817,28
594,10.469866,-2.4466836,23
595,18.928396,-6.4841866,2
596,-0.6492971,17.005625,11
597,5.269046,0.7366093,66
598,9.727177,0.29145706,9
599,8.571473,1.2730677,7
600,6.858425,6.7232823,-1
601,9.726422,0.24983186,9
602,6.741626,1.6082972,127
603,6.742825,1.6080409,127
604,9.350056,3.7086186,26
605,16.17132,-14.748344,4
606,26.868488,10.180677,1
607,9.897608,-0.19493319,9
608,6.4925246,27.352236,0
609,9.391656,1.2741493,80
610,6.9602165,4.1572914,-1
611,7.4004855,4.5159616,111
612,16.198261,-14.767338,4
613,6.321754,27.668633,0
614,27.167442,10.345751,1
615,11.491958,0.7247733,32
616,5.323062,0.8420023,66
617,5.3246813,0.84550583,66
618,-11.912238,7.4474864,61
619,26.763174,10.281269,1
620,8.580896,1.2714396,7
621,7.112122,5.253878,62
622,18.691547,-6.704929,2
623,27.04834,10.623132,1
624,-11.912263,7.4475026,31
625,8.552765,1.3015959,7
626,2.0501912,11.618568,29
627,11.424494,0.38678277,-1
628,0.07658776,2.5958607,33
629,18.757448,-6.625629,2
630,6.1865554,6.2750754,54
631,16.22409,-14.795246,4
632,6.4056664,27.252544,0
633,7.176954,5.0098696,111
634,12.43513,14.39567,101
635,26.76231,10.265288,1
636,18.700823,-6.7416296,2
637,9.326952,3.7334232,26
638,12.056307,1.8574256,78
639,6.4138513,27.39558,0
640,12.987341,9.352248,25
641,9.19434,4.1496787,-1
642,6.2679553,6.0822024,54
643,9.309257,3.744186,26
644,9.262009,3.804075,26
645,7.126762,5.9850073,-1
646,11.723404,7.3883176,141
647,8.022677,5.460265,8
648,5.881587,4.186042,24
649,12.396441,1.1355937,98
650,8.793205,1.32862,7
651,7.126814,5.2342453,62
652,10.175492,1.5810695,29
653,11.381834,1.7435899,-1
654,6.6596956,3.6050997,40
655,9.145971,5.7784696,97
656,16.17599,-14.747284,4
657,6.389114,27.352152,0
658,5.9042697,4.1506906,24
659,26.854256,10.261236,1
660,12.54627,-2.1047592,100
661,6.1253552,4.7239494,49
662,-0.5024153,16.651047,124
663,5.820664,2.808166,126
664,13.722476,-0.20068358,104
665,5.8814626,4.2013574,24
666,12.59802,0.487077,-1
667,6.677918,3.5913656,40
668,5.8840303,4.2108245,24
669,7.575736,6.666463,55
670,5.8209205,2.790567,126
671,7.4150963,4.3065915,-1
672,5.850218,4.2299685,24
673,12.039885,1.233896,87
674,13.76933,1.0721778,12
675,10.190523,1.5978571,29
676,22.736141,3.654133,3
677,6.041393,4.0116043,-1
678,26.852917,10.527878,1
679,10.077587,-0.15224397,9
680,12.002449,1.2596875,87
681,22.74227,3.7782466,3
682,5.9013495,4.189419,24
683,12.395042,0.54345906,-1
684,10.261581,-2.4029188,23
685,6.238336,27.348892,0
686,13.895272,0.98775446,12
687,5.887556,4.1993775,24
688,16.159758,-14.736938,4
689,26.905642,10.184866,1
690,22.63111,3.6417084,3
691,-6.6239314,-2.0345676,13
692,11.968858,7.356923,-1
693,5.8732834,4.196759,24
694,11.757844,7.285835,36
695,6.407118,27.452839,0
696,16.171036,-14.788695,4
697,6.5288515,27.229206,0
698,26.953136,10.141353,1
699,11.356722,1.7104224,20
700,5.9483066,4.237432,24
701,13.7539215,1.0391369,12
702,5.8811216,4.195424,24
703,10.882031,-3.4494948,10
704,5.4505396,3.8852336,30
705,6.3969955,5.560525,15
706,13.595237,-0.4916832,44
707,10.226153,2.9688764,-1
708,6.3501825,27.267143,0
709,5.695986,4.8533792,-1
710,13.854389,1.1038975,12
711,11.247066,1.9166906,-1
712,7.0783277,5.9436507,60
713,-0.020087592,2.5649903,33
714,6.3368387,27.375832,0
715,8.754576,5.6850204,146
716,16.139091,-14.717054,4
717,6.484664,27.477638,0
718,6.0614467,27.43665,0
719,0.0073252055,2.6014132,33
720,27.150705,10.385609,1
721,9.476559,0.8681247,-1
722,6.4580812,27.309685,0
723,7.7444353,4.577818,-1
724,6.5417795,27.572311,0
725,0.061673395,2.6506128,33
726,6.4236865,27.324793,0
727,10.851514,-3.3464074,52
728,11.264137,1.9136902,-1
729,10.860212,-2.9924998,10
730,26.706228,10.28429,1
731,22.70124,3.6593344,3
732,6.5685577,27.309181,0
733,11.071933,-2.3796253,142
734,7.3292975,6.114955,-1
735,10.708548,-2.8456688,10
736,9.145889,5.776773,97
737,10.828252,2.4159636,57
738,6.1574936,6.399842,54
739,22.582088,3.5769017,39
740,9.138218,5.820721,97
741,6.738756,1.597007,127
742,16.187227,-14.767678,4
743,6.2273207,27.272974,0
744,26.997906,10.54596,1
745,6.811099,3.1735604,-1
746,18.647614,-6.6664577,2
747,7.989546,3.3729477,91
748,6.804382,3.1827497,40
749,11.575559,0.6802109,32
750,6.3213964,27.310722,0
751,9.839293,0.071115546,9
752,8.467708,4.462776,-1
753,-0.5038699,16.653442,-1
754,11.886426,-0.5533634,18
755,12.710379,2.3237371,21
756,0.49327967,-7.872271,6
757,27.092001,10.5349865,1
758,16.18294,-14.755432,4
759,5.7683153,3.1206226,16
760,6.2222137,27.684288,0
761,26.897257,10.121183,1
762,6.5848455,3.6854796,-1
763,12.791988,2.2979567,21
764,12.79201,2.310096,21
765,10.93595,-2.1807394,100
766,7.234158,6.371127,112
767,7.560239,4.199637,64
768,5.80381,3.604221,-1
769,7.019335,6.021592,60
770,11.814626,7.8559947,59
771,16.207151,-14.786925,4
772,13.836202,1.1034921,12
773,26.791449,10.216115,1
774,16.118744,-14.694308,4
775,6.2559557,27.368546,0
776,18.768183,-6.7553544,2
777,1.4693565,16.304085,118
778,6.4627748,27.469576,0
779,27.013224,10.215113,1
780,1.4695098,16.30401,118
781,11.218336,1.3944455,133
782,2.003468,11.56729,39
783,6.1157017,6.418973,54
784,18.731651,-6.76118,2
785,6.2186875,3.1826293,-1
786,7.0327024,3.4214575,-1
787,12.136205,0.10410854,18
788,7.0429397,6.068681,60
789,-0.04573627,0.99629366,102
790,6.0533047,6.895023,41
791,11.5955925,-0.53261083,82
792,13.844398,0.9667225,12
793,7.1113133,6.0674067,60
794,18.728401,-6.5827355,2
795,5.9345326,3.1078951,28
796,13.817152,1.0988265,12
797,12.05921,1.8563416,78
798,-8.921941,12.799012,-1
799,16.177921,-14.740744,4
800,6.297278,27.326195,0
801,7.040746,6.061256,60
802,27.137669,10.548834,1
803,18.761152,-6.7444587,2
804,6.120677,6.414913,-1
805,12.405067,0.91551316,130
806,8.578633,5.258112,115
807,5.7902055,5.5779843,-1
808,7.0087185,6.0153837,60
809,12.833366,0.06259557,-1
810,12.136384,1.1836694,87
811,12.087274,-0.25115052,18
812,1.4694499,16.304096,118
813,10.711278,2.8136837,85
814,13.021356,9.395637,25
815,12.077597,0.050885797,18
816,1.4693832,16.304052,118
817,10.621388,2.7766733,-1
818,18.788433,-6.778332,2
819,10.693739,1.7439557,110
820,12.659368,0.41441104,-1
821,1.4696636,16.303967,118
822,6.986932,2.7483315,17
823,10.178291,1.5850663,29
824,9.215051,10.714392,88
825,18.65472,-6.785404,2
826,18.56352,-6.6609364,2
827,8.4614725,-16.235352,-1
828,6.0969424,-4.0176196,65
829,18.679285,-6.7904363,2
830,12.545172,-2.1069648,42
831,6.385262,5.5664654,15
832,8.110738,5.840288,8
833,16.216866,-14.798732,4
834,12.031215,-0.2356839,18
835,6.1589246,27.478216,0
836,6.39311,4.9606023,-1
837,10.853101,-3.0115511,10
838,27.130512,10.688811,1
839,8.065088,6.101361,8
840,6.804568,3.2580845,40
841,8.028089,5.4422693,8
842,9.848051,-4.5437503,93
843,12.652062,2.2565925,21
844,10.515078,8.561433,19
845,11.682721,0.2545153,98
846,10.640429,1.0588863,133
847,11.3668165,0.44135502,128
848,6.483312,4.296706,108
849,18.782942,-6.747157,2
850,18.728725,-6.781752,2
851,10.877291,-3.0239298,10
852,18.670849,-6.6966634,2
853,18.631256,-6.7091203,2
854,11.901665,7.4125504,-1
855,18.749271,-6.7594028,2
856,18.796299,-6.777844,2
857,16.148907,-14.729733,4
858,6.2069445,27.279087,0
859,27.166101,10.452114,1
860,10.868802,-3.0418994,10
861,-11.143765,-3.5957415,86
862,7.0986934,3.5276647,-1
863,1.960218,11.606564,39
864,26.855812,10.364466,1
865,10.881566,-3.4379213,10
866,0.022921937,2.9990044,-1
867,13.0295315,9.40471,25
868,12.258928,0.64403945,-1
869,7.361368,6.5620985,74
870,6.5113125,3.2980769,-1
871,12.2434845,7.442393,-1
872,10.180147,1.5855045,29
873,-11.143747,-3.5957325,86
874,10.962729,1.7084141,20
875,10.891671,-3.003399,10
876,9.821223,0.045482066,9
877,-6.597706,-2.0723274,13
878,6.228352,27.296818,0
879,12.544544,-2.105007,42
880,12.846717,1.988078,22
881,12.848485,1.9759473,22
882,16.24201,-14.819324,4
883,13.634129,-0.40463668,44
884,6.9841585,4.408295,68
885,26.750511,10.429616,1
886,12.191239,0.88083357,-1
887,-7.524414,2.2803416,5
888,6.096424,-4.0179634,65
889,16.173452,-14.754789,4
890,6.432742,27.454905,0
891,27.061255,10.506036,1
892,12.111683,1.1024032,87
893,1.9602656,11.606699,39
894,13.679649,-1.5072165,47
895,6.0969014,-4.0176625,65
896,13.678866,-1.5059829,47
897,13.678462,-1.5057298,47
898,10.9987,1.727229,20
899,13.678171,-1.505307,47
900,13.680198,-1.5108099,47
901,8.012139,6.034217,8
902,10.864553,-3.0328863,10
903,-0.016172137,3.1536894,76
904,12.976698,-0.69720787,72
905,6.40794,5.5887003,15
906,12.751251,2.2957757,21
907,16.20271,-14.804667,4
908,6.1740556,27.428068,0
